meaning_ru,id,Bagvalal (Magomedova 2004),Bagvalal (Magomedova 2004) bor,"Botlikh (Saidova, Abusov 2012)","Botlikh (Saidova, Abusov 2012) bor",Godoberi (Saidova 2006),Godoberi (Saidova 2006) bor,"Karata-Tukita (Magomedova, Khalidova 2001)","Karata-Tukita (Magomedova, Khalidova 2001) bor",Botlikh (Alekseev 2006),Botlikh (Alekseev 2006) bor,"Akhvakh (Magomedova, Abdulayeva 2007)","Akhvakh (Magomedova, Abdulayeva 2007) bor",Andi (Salimov 2010),Andi (Salimov 2010) bor,"Tokita (Magomedova, Khalidova 2001)","Tokita (Magomedova, Khalidova 2001) bor",Chamalal (Magomedova 1999),Chamalal (Magomedova 1999) bor,Tindi (Magomedova 2003),Tindi (Magomedova 2003) bor,n_languages
волна,1,КАРÁ̄ЧЕЛ,native,,,КЯРÁЧЕЛ,native,ГАРЕЧА'Н,native,кара́чел,native,караче'ли,native,КАРАЧЕЛ,native,,,КВАЧI,native,ЧАРАКВÁН,native,8
ворона,1,ХЪВÁ̄ГЪАᴴДВ,native,къвакъв/а́,native,ГЪАНДИ́,native,ГЪАᴴДЕ',native,,,гъаᴴ'ди,native,ХЪОММО,native,,,КЪВА̅ГЪАᴴ,native,ХЪÓБА,native,8
восемь,1,БИКЬ́ИДА,native,бикьи́да,native,БИКЬИ́ДА,native,БИКЬИ'ДА,native,,,бикьи'да,native,БЕЙКЬИГУ,native,,,БЕКЬИ́ДА,native,БИКЬИ́ЙА,native,8
впотьмах,1,БЕ̄СУЛГЬÁХ,native,боццу́лахи,native,СИНДИ́КЪАЛIИ,native,БЕ'Ц¯ОЛЪЕРИХЪ,native,бо́ццулахи,native,,,БОТӀИДОХЪИ,native,,,ЗАХЪУ́ЛАХЪ,native,БÉЦ̄УЛАХЪА,native,8
вторник,1,ТАЛÁТЗЕБ,native,тала́т,native,ТАЛÁТ,native,БО'ЪОЛ|ОР,native,,,бо'къIиликьа̄жо,native,ТАЛАТИ,native,,,ТАЛАТ,native,ГЬṒЙЗЕБУ,native,8
вымя,1,ИГЬВ,native,ко́ра,native,КÓР/А,native,ИХЬУ',native,ко́ра,native,и'шу,native,ИШУ,native,,,ИᴴГЬВ¹,native,,,8
гвоздь,1,ГЬÁᴴКIВА²,native,,,ГЬАНКI/ВÁ,native,ГЬА'ᴴК|/ВА¹,native,гьа́нкIва,native,микъIе',pers,ГЬАНКӀО,native,,,ГЬА̀ᴴКIВА,native,ГЬÁᴴКIВА,native,8
где-то,1,́ИНДЖИ/Б/УКIАЙРАЛА,native,,,И́ЙАХЪИХХУБУДА,native,ГЬИᴴГЕ-Б/ИК|У'БАРЕЛ,native,и́ну-хва́ᴴда,native,гьаги'лIи/б/икIве̄ла,native,ИНУБОЛО,native,,,ИКЬАᴴХАБИ̅,native,ИНИ́ЙŌБИ́ГЬИ,native,8
глаз,1,ГЬÁЧIА,native,гьа/й,native,ГЬАЙИ́,native,ГЬАРК|А',native,гьай,native,,,ГЬАРКӀУ,native,,,ГЬА̀ЧIА,native,ГЬÀКI’/А,native,8
глубина,1,КЪÓТIИЛГЬАР,native,гъу́дир,native,ГЪАДУ́ЛЪ/И,native,ОДЕ'ЛЪЕР,native,гъу́дир,native,,,КЪГУДИЛЪИР,native,,,КЪОТIВЛЪИ,native,КЪÓТIИЛЪАР,native,8
гнездо,1,ЧИᴴДВ,native,беше́/н,native,БЕШÉН,native,БЕ'РХЬВАН,native,,,ре'шваᴴ,native,БЕШЕН,native,,,КЪИШВ,native,БÉХВАН,native,8
гнида,1,ТIÁНА¹,native,,,ТIАНÁ,native,Т|А'НЕ,native,тIа́на,native,тIа'не,native,ТӀАНА,native,,,ТIАНА,native,ТIÀНА,native,8
голубь,1,ГЪУᴴГЪ,native,гъу́ргъ/у,native,ГЪУГЪ/У́,native,ГЪУГЪ/У',native,гъу́ргъу,native,гъу'гъу,native,ГЪУГЪУ,native,,,,,ГЪУ́ᴴГЪУ,native,8
гора,1,БÉСА,native,бе:л,native,БĒЛ,native,,,бел,native,бе'ча,native,БИЛ,native,,,БЕ̅Л,native,БÉС/А,native,8
готовый,1,ХIАД́УРА/Б,native,хIаду́ра/б,native,КЪАЧIАГЬИᴴБУ́,native,КЪА'Ч|А¯/Б,native,хIадур=аб,native,,,ГЬАДУР,native,,,ХIАДУРАБ,native,ХIАДУ́РА/Б,native,8
граница,1,ГIОРХЪ́И,native,гIурхъ/и́,native,ГIУРХЪИ́,native,Г|ОРХЪЕ',native,,,гIохъи',native,ОРХЪИ,native,,,ОРХЪИ́,native,ГIÓРХЪИ,native,8
грипп,1,КЪВАТIАБАЛЪГЬÁЛАР,native,,,ГЬÁНЛIАХЪИСС/У,native,КЪВА'Т|АЛА,native,гири́п,rus,къватIа'ла,native,ГЬОНХЪИССОЛ,native,,,ГЬА̅ᴴБАКIУ́Л,native,ДÉЧ̅АЛАР,native,8
грубый,1,КЬАКЪ́У/Б,native,хъа́рщу,native,ХЪÁЧIА/Б,native,ХЪАЧ|О'/Б,native,хъа́чIаб,native,хъачIа'да/б/е,native,ГОМИЛУ,native,,,,,КЬÁГЪАЛIА,native,8
грузины,1,ГУРЖ́ИЙА/ДИ/ГУРЖ́ИЙĀ/РИ,native,гуржи́йал,native,ГУРЖИ́ЙА/Л,native,ГУРЖИ'ЙАБДИ,native,гу́ржийал,native,гужа̄'ди,native,,,,,ГУРЖИ́ЙАЛИ,native,ГУРЖḖЙИ,native,8
груша,1,ГЬ́ИНГЬА,native,гьи́ᴴгьу,native,ГЬИᴴГЬУ́ᴴ,native,ГЬИ'ᴴГЬИᴴ,native,,,мах̄а'х̄о,native,ГЬИГЬИ,native,,,ГЬИᴴГЬВ,native,ГЬИ́ᴴГЬА,native,8
гусь,1,ХЪАЗ,pers,хъаз,native,ХЪÁЗИ,pers,,,хъа́за,native,хъа'зи,pers,ХЪАЗИ,pers,,,ХЪАЗ,native,ХЪÁЗИ-ŌЧА,pers,8
девятый,1,ГЬАЧIВÁЙЛ̄ЪŌ/Б,native,гьачIа́йлъ/аб,native,ГЬÁЧIАЛЪИ,native,ГЬАЧ|ВА'ДАЛ|О/Б,native,гьа́чIайхоб,native,а'пIаликьида/б/е,native,,,,,А̀ЧIАЛIАБ,native,ГЬАЧIВАЛИЛIÁ/Б,native,8
девять,1,ГЬАЧIВÁДА,native,гьачIа́да,native,ГЬАЧIÁДА,native,ГЬАЧ|ВА'ДА,native,,,апIа'да,native,ГЬОЧӀОГУ,native,,,АЧIА́ДА,native,ГЬАЧIВÁЙА,native,8
делить,1,Б/ÁX̄И/ЛА¹,native,микъ/а́й,native,,,Б/ЕКЪ/А'ЛЪА,native,бекъина́й,native,б/икъу'/рулъIа,native,ЧӀЕРКЬИДУ,native,,,БЍКЪЛА,native,Б/И́КЪ/ИᴴЛЪ’А,native,8
длина,1,Б/ЕX̄ÁЛГЬАР,native,б/еххи́лар,native,Б/ЕХХИ́ЛАЛЪИР,native,БЕХ¯ЕЛА'ЛЪЕР,native,б=еххи́лар,native,б/ах̄алъе',native,,,,,ЙЕХИ́ЛАЛЪИ,native,БЕX̅ÁЛАЛЪАР,native,8
дно,1,ГЬИЛВ²,native,гьи́нгъул,native,ГЬИНЛУ́,native,РОС¯И',native,гьи́нгъу,native,,,ГЬИМЛУ,native,,,ГЬИЛВ,native,ГЬИ́ᴴЛ̅У,native,8
добыча,1,ДÁВЛА¹,native,давла́,native,ДАВЛÁ,native,ДА'ВЛА,native,даву́ла,native,до'ла,native,,,,,ДА́ВЛА,native,ДÁВУЛА,native,8
довольный,1,РАЗ́ИЙА/Б,arab,рази́йа/б,arab,РАЗИ́ЙА/Б,arab,,,рази́лъо,arab,рази'да/б/е,arab,РАЗИ,arab,,,РАЗИ́ЙАБ,arab,РАЗИ́ЙА/Б,arab,8
дуть,1,П́УДИ/ЛА,native,пуд/и́,native,ПУДИ́,native,ПУ/ВА'ЛЪА,native,пу́ди,native,гьу'рулъIа,native,,,,,ПУЛА,native,ПÁЛЪ’А,native,8
дым,1,КIУᴴЙ¹,native,ццу́р/и,native,ССУРИ́,native,Ц¯УРЕ',native,,,кĪвиᴴ,native,КӀКӀОЙ,native,,,СУР,native,К̅ӮᴴЙ,native,8
ежедневно,1,ЗÉБУЛЪДА,native,зи́вданицIцIу,native,ЗИБУ́ХЪИ,native,ЗЕБЛ|Е',native,,,жодолIи',native,ЗУБУЛӀИ,native,,,МИ́ЛЪХЪАСАᴴ,native,ЗÉБХЪА,native,8
жвачка,1,ПӢС̄I,native,,,ПИРЦЦИ́,native,БИЦ¯|И',native,ла́бххущир,native,мицĪи',native,ССИЛАМАН,native,,,БИС̅I̅,native,МИ́Ц̄И²,native,8
железо,1,ЌУБ/А,native,ко́б/и,native,КУБ/И́,native,КУБА',native,коби,native,,,ККУБ,native,,,КОБА¹,native,КУ́БА,native,8
желтый,1,ГIАЧ́У/Б,native,,,ЧЧАККУ́,native,ОБИ'Л|,native,чча́кку,native,тIигьо'лIи,native,ЧАККУ,native,,,АШУ́Б,native,АЧУ́/Б,native,8
журавль,1,,,къуре́нтI/у,native,КЪУ́НКЪУРА,native,КЪУРУ'Н,native,къункъра́,native,къу'къу,native,РЕШНОЛӀИКЪУРУ,native,,,КЪУРИ́КЪАРА,native,КЪУ́РИКЪА,native,8
завидный,1,ПАХ́ИЛА/Б,arab,,,ГЬАРДÁРАБ,native,ГЬАРДАРА'/Б,native,бахи́лих=аб,arab,б/ахи'да/б/е,arab,ГЬАЙРАН,arab,,,БАХИ́ЛАБ,arab,БАХИЛУ́Б,arab,8
замок,1,РÉКIУЛ,native,,,ХЪАЛÁ,arab,МАХ¯Е',native,рекIу́балъи,native,рикIа'лIи,native,РЕКӀУЛО,native,,,ЙИКIУЛ,native,РÁЖИКI’А,native,8
здешний,1,АН́ӢС,native,ару́ссу/б,native,ГЬÁВАССУ,native,ГЬА'РГЕС¯,native,аруссу́=б,native,гьа'гес̄е,native,,,,,А́ЖАНИС̅,native,АГ’И́С̅А,native,8
здоровье,1,СÁГЪЛГЬАР,native,сахлъ/и́,arab,СÁХЛЪИ,native,САХЛЪЕ'Р,native,сахлъи́,arab,са'гълъила,native,,,,,САГЪЛЪИ́,native,СÁГЪИЛЪАР,native,8
зима,1,̄С́ИБАР,native,ццибу́ру,native,ЦЦИБУР/У́,native,Ц¯ИБЕ'РО,native,ццибу́р\у,native,ц̄ибе'ро,native,КЬИНУ,native,,,,,Ц̄И́БАР¹,native,8
змея,1,БÉЧА,native,бе́рк/а,native,БÉРК/Я,native,БЕ'РК/А,native,бе́рка,native,бе'ка,native,,,,,БЕ́ЧА,native,БÉК’/А,native,8
зола,1,КЬĒ,native,кье:,native,КЬЕЙИ́,native,КЬЕЙ,native,кьей,native,тере'ти,native,,,,,КЬЕ¹,native,КЬĒ,native,8
зуб,1,ГОЖ¹,native,са́л/у,native,СУ́КIИ,native,ГО'Ж/О¹,native,,,го'жо,native,СОЛ,native,,,КОЖ,native,КÓЖУ,native,8
зять,1,Н́УСА,native,ну́с/а,native,НУ́С/А,native,НУСА',native,ну́са,native,нуша',native,,,,,НУСА,native,НУ́СА,native,8
индюк,1,ГУЃУРА,native,маску́,native,МÁСККУ,native,,,маску́,native,гугу'ри,native,НУСКӀУЛ,native,,,МАСКУЛ,native,МАСКIÓ-ŌЧА,native,8
кабардинец,1,КАБАРД́ИНАВ,native,кабарди́нав,native,КАБАРДИ́НА/В,native,КАБАРДИ'НАВ,native,кабарди́нав,native,кабарди'на,?,,,,,КАБАРДИ́НО,native,КАБАРДИ́НАВУ,native,8
каждый,1,́Э/Б/ЛА,native,гьи́б-гьиб,native,ЖИ́Б-ЖИБ,native,БИ'ШДИ-БИШДИ,native,,,уштушта'да,native,ГЬАР,pers,,,ИЛI-ИЛIИ,native,БИ́С̅А-БИС̅И,native,8
казак,1,ХЪАЗÁХЪАДУВ,native,каза́кав,native,ХЪАЗÁХЪА/В,native,,,гъаза́х,rus,хъа'захъе,native,ХЪАЗАКЪИ,native,,,КАЗАКО,native,КАЗÁКАВУ,native,8
казахи,1,КАЗÁХАД/И,native,каза́хал,rus,КАЗÁХА/Л,native,КАЗАХДИ',native,каза́хал,rus,хъазахъо',?,,,,,КАЗАХАЛИ,native,КАЗÁХ/АЙИ,native,8
калмык,1,КАЛМ́ИКАДУВ,native,калми́кав,native,КАЛМИ́КА/В,native,КА'ЛМИКАВ,native,хъалми́хъав,native,калми'ка,?,,,,,КАЛМИ́КО,native,КАЛМИ́КАВУ,native,8
калмыки,1,КАЛМ́ИКАД/И,native,калми́кал,rus,КАЛМИ́КА/Л,native,КА'ЛМИКАБДИ,native,хъалму́хъал // хъалми́хъал,native,калми'ко,?,,,,,КАЛМИ́КАЛИ,native,КАЛМИ́К/ĀЙИ,native,8
капкан,1,ГУД́УР,native,гуду́р,native,ГУДУЛ/У́,native,КЪОТА'Н,native,гудул,native,къIи'ли,native,,,,,И́ЛАБЕ,native,КИ́ЦIУ,native,8
кастрировать,1,̄СВÁРА/ЙЛА,native,ссард/а́й,native,ССÁРДАЛ/И,native,,,ша́би,native,с̄оро̄'/рулъIа,native,ШОБИЙДУ,native,,,КЪВАКЪВА̅ЛА,native,ГЬАБИ́ГЬ/ИЛЪ’А,native,8
керосин,1,НАРТ,pers,на́бти,arab,НÁРТИ,pers,НАРТ/Е',pers,на́пти,arab,на'ти,pers,,,,,НАРТ,native,НÁРТИ,pers,8
кизяк,1,Ч́ИЛА¹,native,ки́л/а,native,КИ́Л/А,?,КИЛ|А',native,ки́ла,native,,,БАРА,native,,,ЧИЛА,native,К’И́Л/А¹,native,8
кислый,1,̄С̄IИКÍУ/Б,native,,,ЦЦИККУ́,native,Ц¯|ИК¯|О'/Б²,native,цIцIи́кIкIу,native,чĪи'кĪуда/б/е,native,ЦӀЦӀИКӀКӀУ,native,,,СIИ́КIУБ,native,ГЬИᴴЛ̅У́/Б,native,8
кладбище,1,ГЬОБ́ИЛ̄ЪАР,native,,,ШУ́ДАЛ,native,ХЬО'БДОЪОЛО,native,зала́м,native,шве̄'ла,native,ШУБИЛОЛ,native,,,ГЬОБ,native,ГЬÒБА,native,8
клей,1,СИН,native,,,СИ́Н/И,native,СИ'НЕ,native,си́ни,native,ши'ни,native,СНО,native,,,СИН,native,СИ́НИ,native,8
клещ,1,НА̄С̄I1,native,сина́лъур,native,СИНАЛI/У́,native,СЕ'НАЛ|У,native,,,шиᴴ'делIу,native,ЛАРБА,native,,,СИНАЛIВ,native,МИ́Ц̄УКЪУ,native,8
клык,1,КIУᴴ̄С̄IÁСАЛВ,native,гажа́л/у,native,ГЯЖАР/У́,native,ГО'Ж/О¹,native,гажа́лу,native,го'жо,native,,,,,КОЖ,native,КÓЖУ,native,8
книга,1,ХЪÓЧА,native,,,ХЪУЧ/Á,native,ХЪО'ЧА,native,хъу́ча,native,гъо'ча,native,ХХУЧА,native,,,ХОША,native,ГЪÒЧА,native,8
колесо,1,ЧАРХЪ/ЧАХЪ,pers,ххи/в,native,ГУРГУЩ/И́Л,native,ДИ'ДУ,native,,,кIили'кIа,native,ЧӀУРИГИ,native,,,ГЪИЛВ,native,РÁКВИ²,native,8
колыбель,1,ЧИН¹,native,ки́н/и,native,КИНИ́,native,,,ки́ни,native,лIе'ша,native,КИНИ,native,,,РЕКИᴴ,native,РЕК’ÁН,native,8
комар,1,ЩIÁРА,native,кIкIа́р/а,native,ККЯР/Á,native,К¯|АР/А',native,,,джиби',native,КӀКӀАРА,native,,,КIАРА,native,К̅’ÁРА,native,8
конопля,1,ГАЛÁМ,native,,,ЦЦÉЛ/И,native,Ч|АРКЬУ'МО,native,турти́,native,гале',native,КИНЛӀИШЕН,native,,,СIИРИ́-ДЖАДЖА,native,КIОРКIАЛУ́БКЬЕТIУ,native,8
корзина,1,́ИНЧ/А,native,ги́з/у,native,ИНЧ/Á,native,ИᴴЧА',native,ги́зу,native,чIе'гьи,native,ГИЗА,native,,,,,Г’И́ЗУ,native,8
корь,1,ЛÁГЪУКЬ,native,,,ГЪАНДУ́ЛIА,native,ЧУХАР,native,тIа́мир,native,татахъе',native,ХЪИРУ,native,,,ЛАГЪВКЬИ́ЛI,native,ЛАГЪУКЬИ́С̅А,native,8
коса,1,БАКЬ¹,native,чаба́г/и,native,ЧÓГ/И,native,ХЪА'ШТ|А,native,чабага,native,ба'кьи,native,,,,,БАКЬ²,native,КЪВÁТIИ,native,8
косить,1,,,хханд/и́,native,ХХАННИ́,native,РАКВА/ЛЪА',native,хханди́,native,лIихъо'ро̄/рулъIа,native,ХХАННУ,native,,,ЛIИХЪУГЬЛА,native,ÀКВ/ИЛЪ’А,native,8
кость,1,РАКЬ,native,ра́кьи/л,native,РÁКЬИН,native,РА'КЬЕ,native,ра́кьил,native,ра'кьи,native,,,,,ЙАКЬИЛ,native,РÁКЬИ,native,8
красноречивый,1,ПА̄С́ИХIА/Б,native,пасси́хIа/б,arab,ПАСИ́ХIА/Б,arab,ПАС¯ИХ|О'/Б 1),native,,,пас̄и'хIада/б/е,arab,ПАССИГЬИ,arab,,,ПАСИ́ХIАБ,native,ПАС̅И́ХIА/Б,arab,8
кровь,1,ГЬЕР,native,гьи́ри,native,ГЬИРИ́,native,ГЬЕРИ',native,,,гьи'ни,native,ГЬИН,native,,,Э¹,native,ГЬÈРИ¹,native,8
кукла,1,НÁНУ,native,бахIа́рай,native,НÁНИ,native,АШИ'К|/О,native,бахIа́р\ай,native,,,ЙЕШКӀИ,native,,,НАН,native,МАКI’ḖКIВА,native,8
кукушка,1,ГÉГУ,native,гу́ггу,native,ККУ́ККУ,native,ГУГУ',native,гагу,native,,,ГГГЕГГУ,native,,,ГЕГВ,native,Г’ÉГУ,native,8
курдюк,1,М́ИГЪА,native,,,МИ́ГЪА,native,МИГЪА',native,ми́гъа,native,ка'лIи,native,БЕХХВА,native,,,МУГЪУЛ,native,МУ́ГЪУЛ,native,8
куропатка,1,ГЪÁГЪА,native,гъа́бгъ/а,native,ГЪÁБГЪ/ВА,native,ГЪА'ВГЪВА²,native,гъа́бгъа,native,гъа'гъиба,native,ГЪОБГЪО,native,,,,,ГЪÁГЪА¹,native,8
куча,1,ГЪУН,native,гъу́ни,native,,,ГЪВА'Н/Е,native,гъуни́,native,гъоба',native,КӀОШИ,native,,,ГЪУ̅ᴴ,native,ГЪÒБ/А,native,8
ласточка,1,КЬ́ИЧВАРА,native,чIчIи́кара,native,ЩИКЯРÁ,native,КЬИ'ЧВАРА,native,,,ра'кьича,native,ГЬИЦӀЦӀКЪОЛ,native,,,КЪИША,native,КЬИ́ЧВАРА,native,8
лаять,1,ХIÁБДИ/ЛА,native,хIа́бда/лъи,native,,,Х|АБ/АЛЪА',native,хIабда\лъи́,native,гIаᴴцIу'/нулъIа,native,АБЦӀУННУ,native,,,ВА̅́НА,native,ГЬÀБД/ИЛЪ’А,native,8
лед,1,ЗАР,native,за́ри,native,ЗАР/И́,native,ЗА'РЕ,native,,,жари',native,ЗАР,native,,,ЗА̅,native,ЗÁРИ,native,8
лезгины,1,ЛЕЗЃИНАДИ/ЛЕЗЃИНĀРИ,rus,лезги́нал,rus,ЛЕЗГИ́НА/Л,rus,ЛЕЗГИ'НАБДИ,rus,лезги́йал,rus,лезги'но,rus,,,,,АХТИ́-КУРАЛАЛИ,rus,ЛЕЗГИ́Н/ĀЙИ,rus,8
лемех,1,КЪОБ,native,къу́бу,native,КЪУБУ́,native,,,пу́рццилъи бесу́н,native,къо'бе,native,КЪЕБ,native,,,КЪОБ,native,КЪÓБА,native,8
летом,1,КЪ́ИНА,native,къену́лъи,native,КЪИНУ́ЛIИ,native,КЪИ'НЙА,native,,,къи'на,native,КЪИНА,native,,,КЪИ́НА,native,КЪИНУ́ХЪА,native,8
летучая мышь,1,МУX̄УРÁЩАКИБ,native,де́ргв/а,native,ГЪАПРÁ,native,ГЕ'ДЕРО,native,де́ргва,native,ру'ща,native,,,,,ХИᴴТРУМ,native,X̅УБУ́ЧА¹,native,8
лизать,1,НÁ/ЙНА,native,кIу́ннд/и,native,КIУННИ́,native,,,ламди́,native,кĪокĪоро'жу/рулъIа,native,ЛАМУ,native,,,ЛЪО̅ЛА,native,ДÀᴴД/ИЛЪ’А,native,8
лучина,1,КВАᴴЙ,native,кваᴴй,native,КВАᴴЙИ́,native,МИ'ᴴГО,native,,,миᴴ'го,native,КВАН,native,,,КВА̅ᴴ,native,КВĀᴴЙ,native,8
магнит,1,МАКЪЛАТÍИС/МАКЪЛАТIИЦ,arab,,,МАКЪАРАТIИ́ССИ,arab,МАКЪАЛАТ|И'С¯,arab,макъла́тIис,arab,макълатIи'с̄и,arab,МАКЪГЛАТӀИСИ,arab,,,МАКЪЛАТIИ́С,native,МАКЪАЛАТIИ́СИ,arab,8
медведь,1,С̄ИН,native,сиᴴ,native,СИᴴГЬИ́,native,СИᴴ,native,,,шиᴴ,native,СЕЙ,native,,,СЕГЬИᴴ,native,СӢᴴ,native,8
медный купорос,1,ХЪÁЙЛЪЖИМ,native,ма́чIчIпил,native,МÁЧIИБИР,native,МАЧ|БИ'Л,native,ма́чIпир,native,мачIа'ра,native,,,,,МАЧIБИЛ,native,ХЪÁЙЖИМИ,native,8
мельница,1,ГЬВАБ,native,хва́бу,native,ХВАБ/У́,native,ХАБУ',native,,,хва'ба,native,ИХОБ,native,,,ХВАБ,native,ХВÀБУ,native,8
мечеть,1,МАЖ́ИТ,arab,машки́д,arab,МАШТИ́К/И,arab,МАШТИ'К,arab,машки́т,arab,,,МАШТИГИ,arab,,,МАШТИ́К,native,МÁШТАР,arab,8
молния,1,ПАРДÁКЬ,native,пир/и́,native,ПИРИ́,native,ПИРЕ',native,пири́,native,пи'ри,native,,,,,А̀ᴴЗХОША,native,ГIÁШТИ,native,8
молодеть,1,МИНЧÁЛГЬИ/ЛА,native,гIолохъан/и́,native,ГIОЛОХЪАНЛЪИ́,native,Г|ОЛО'ХЪАᴴЛЪ/АЛЪА,native,гIоло́хъани,native,,,БАГЬАРДДУ,native,,,МИЛЪИ́ШАЛЪЛА,native,МИЛЪ̅И́ЧАЛЪ/ИЛЪ’А,native,8
молоко,1,ÁТА,native,щиᴴв,native,ЩИᴴВУ́,native,А'РТА,native,,,с̄о,native,ЩИВ,native,,,А̀ТА,native,ÁТА,native,8
моль,1,РЕС¹,native,ре́са,native,РÉСА,native,РЕ'СА,native,ре́са,native,решо',native,,,,,ЙЕС,native,РÉСА,native,8
мост,1,КЬЕР³,native,кьи́р/и,native,КЬИР/У́,native,КЬЕ'Р/У,native,кьи́ри,native,,,КЬИРУ,native,,,КЬЕ²,native,КЬÉРУ,native,8
муж,1,ГЬÉКIВА,native,ку́нтI/а,native,КУ́НТI/А,native,КУ'ᴴТ|А,native,ку́нтIа,native,ми'наре̄кIва,native,КУНТӀА,native,,,ГЬЕ́КIВА,native,,,8
муравей,1,ЖУᴴЖ,native,та́нцIцI/а,native,ЛЪАБЦЦ/Á,native,ЛЪАРЦ¯|Е',native,,,кĪа'ра,native,ЛЪАНЦӀЦӀИ,native,,,ЖУЖ,native,ЖУ́ᴴЖУ,native,8
муха,1,ТIУᴴТI,native,тIу́нтIу,native,ТIУНТI/У́,native,Т|УᴴТ|У',native,,,тIи'тIи,native,ТӀЕНТӀА,native,,,ТIУᴴТI,native,ТIУ́ᴴТIУ,native,8
навоз,1,Ч́ИЛА¹,native,ки́л/а,native,КИ́Л/А,native,КИЛ|А',native,ки́ла,native,ки'ла,native,КӀИКӀИМ,native,,,ЧИЛА,native,,,8
намаз,1,ЧÉБЧА,?,ко:дир,native,КУБАДИ́Р,native,КА'ВКА,native,ко́дир,native,ка'киба,native,,,,,КОБА²,native,К’ÁБК’А,native,8
неделя,1,ГЬАКЬВ³,native,,,ГЬАКЬ/У́,native,ГЬА'КЬУ¹,native,гьа́къу,native,а'кьо,native,ГЬОКЬУ,native,,,АКЬВ,native,ГЬÁКЬУ¹,native,8
неужели,1,БАЙГÁНДА,native,,,УᴴУ́ДАЛАВУ,native,У'ᴴДАЛЪЕДА,native,гьицIцIи́да,native,м/ичу'/нулъIа,native,ДЕХЪЕН,native,,,БЍСНА,native,ГЬАМУ́ЩУ-КЪВАПАЛИС̅А,native,8
никакой,1,ЭЩД́У/Б/ДАЛА,native,иштубкIва́ла,native,ИНКЬÁССУДАЛА,native,ГЬИᴴШДО'/Б/Г|АГИ,native,эшту́бкIвалагучIаб,native,чугадала,native,,,,,И́КЬИСДАЛА,native,ГЬИᴴКЬУ́БДĀ,native,8
ногайцы,1,НУГЪÁЙАД/И,native,нугъа́йал,native,НУГЪÁЙА/Л,native,НУГЬАЙДИ',native,нугъа́ял,native,нугъа̄'ди,?,,,,,НУГЪАЙАЛИ,native,НУГЪАЛÉ/ЙӢ,native,8
